Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Norte de Santander                                ,2011,"3.816,00 ","71.628,40 ","18,77 ","2,62 ","2,61 "
Putumayo                                          ,2011,"34,00 ","266,35 ","7,83 ","0,01 ","0,02 "
Santander                                         ,2011,"5.152,00 ","106.037,70 ","20,58 ","3,89 ","3,53 "
Tolima                                            ,2011,"2.919,00 ","38.275,00 ","13,11 ","1,40 ","2,00 "
Boyacá                                            ,2012,"40.503,21 ","694.825,51 ","17,15 ","26,99 ","29,70 "
Caldas                                            ,2012,"182,00 ","3.433,50 ","18,87 ","0,13 ","0,13 "
Cauca                                             ,2012,"2.167,00 ","35.986,00 ","16,61 ","1,40 ","1,59 "
Cundinamarca                                      ,2012,"52.169,00 ","1.057.851,20 ","20,28 ","41,09 ","38,25 "
Huila                                             ,2012,"36,50 ","259,00 ","7,10 ","0,01 ","0,03 "
Meta                                              ,2012,"868,00 ","11.710,00 ","13,49 ","0,45 ","0,64 "
Nariño                                            ,2012,"29.702,00 ","573.841,60 ","19,32 ","22,29 ","21,78 "
Norte de Santander                                ,2012,"5.210,00 ","90.255,90 ","17,32 ","3,51 ","3,82 "
Putumayo                                          ,2012,"25,50 ","212,40 ","8,33 ","0,01 ","0,02 "
Santander                                         ,2012,"3.608,00 ","81.055,40 ","22,47 ","3,15 ","2,65 "
Tolima                                            ,2012,"1.905,00 ","24.758,70 ","13,00 ","0,96 ","1,40 "
Boyacá                                            ,2013,"38.993,06 ","684.242,46 ","17,55 ","27,53 ","29,39 "
Caldas                                            ,2013,"266,50 ","3.878,75 ","14,55 ","0,16 ","0,20 "
Cauca                                             ,2013,"2.505,30 ","46.421,70 ","18,53 ","1,87 ","1,89 "
Cundinamarca                                      ,2013,"50.452,06 ","1.063.549,17 ","21,08 ","42,79 ","38,02 "
Huila                                             ,2013,"47,00 ","274,50 ","5,84 ","0,01 ","0,04 "
Meta                                              ,2013,"509,00 ","7.696,00 ","15,12 ","0,31 ","0,38 "
Nariño                                            ,2013,"31.054,50 ","509.469,60 ","16,41 ","20,50 ","23,40 "
Norte de Santander                                ,2013,"5.318,00 ","95.286,50 ","17,92 ","3,83 ","4,01 "
Santander                                         ,2013,"2.546,00 ","57.939,00 ","22,76 ","2,33 ","1,92 "
Tolima                                            ,2013,"993,00 ","17.002,00 ","17,12 ","0,68 ","0,75 "
Boyacá                                            ,2014,"44.013,22 ","802.445,00 ","18,23 ","29,15 ","32,12 "
Caldas                                            ,2014,"420,50 ","4.971,76 ","11,82 ","0,18 ","0,31 "
Cauca                                             ,2014,"1.965,00 ","42.625,00 ","21,69 ","1,55 ","1,43 "
Cundinamarca                                      ,2014,"55.821,20 ","1.224.300,90 ","21,93 ","44,48 ","40,73 "
Huila                                             ,2014,"44,00 ","290,50 ","6,60 ","0,01 ","0,03 "
Meta                                              ,2014,"582,00 ","9.433,00 ","16,21 ","0,34 ","0,42 "
Nariño                                            ,2014,"24.501,50 ","478.687,10 ","19,54 ","17,39 ","17,88 "
Norte de Santander                                ,2014,"5.525,90 ","106.939,80 ","19,35 ","3,89 ","4,03 "
Santander                                         ,2014,"2.684,00 ","56.082,50 ","20,90 ","2,04 ","1,96 "
Tolima                                            ,2014,"1.489,00 ","26.747,00 ","17,96 ","0,97 ","1,09 "
Boyacá                                            ,2015,"43.753,55 ","786.304,47 ","17,97 ","26,27 ","30,11 "
Caldas                                            ,2015,"627,00 ","8.170,00 ","13,03 ","0,27 ","0,43 "
Cauca                                             ,2015,"2.150,50 ","46.205,90 ","21,49 ","1,54 ","1,48 "
Cundinamarca                                      ,2015,"58.459,50 ","1.388.717,20 ","23,76 ","46,40 ","40,23 "
Huila                                             ,2015,"48,00 ","310,00 ","6,46 ","0,01 ","0,03 "
Meta                                              ,2015,"548,00 ","8.084,00 ","14,75 ","0,27 ","0,38 "
Nariño                                            ,2015,"27.462,60 ","533.389,50 ","19,42 ","17,82 ","18,90 "
Norte de Santander                                ,2015,"5.003,50 ","91.263,00 ","18,24 ","3,05 ","3,44 "
Santander                                         ,2015,"5.194,20 ","96.207,80 ","18,52 ","3,21 ","3,57 "
Tolima                                            ,2015,"1.551,00 ","26.403,00 ","17,02 ","0,88 ","1,07 "
Valle del Cauca                                   ,2015,"510,00 ","8.170,00 ","16,02 ","0,27 ","0,35 "
