Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Santander                                         ,2008,"202,25 ","3.000,00 ","14,83 ","6,48 ","3,50 "
La Guajira                                        ,2008,"55,50 ","380,00 ","6,85 ","0,82 ","0,96 "
Huila                                             ,2008,"1.470,00 ","11.306,00 ","7,69 ","24,42 ","25,47 "
Chocó                                             ,2008,"16,50 ","203,00 ","12,30 ","0,44 ","0,29 "
Casanare                                          ,2008,"23,00 ","351,00 ","15,26 ","0,76 ","0,40 "
Meta                                              ,2008,"50,00 ","330,00 ","6,60 ","0,71 ","0,87 "
Valle del Cauca                                   ,2008,"893,20 ","6.673,24 ","7,47 ","14,41 ","15,47 "
Risaralda                                         ,2008,"193,00 ","2.123,00 ","11,00 ","4,59 ","3,34 "
Nariño                                            ,2008,"480,00 ","2.526,75 ","5,26 ","5,46 ","8,32 "
Cundinamarca                                      ,2008,"87,00 ","989,80 ","11,38 ","2,14 ","1,51 "
Cesar                                             ,2008,"236,00 ","1.438,00 ","6,09 ","3,11 ","4,09 "
Caldas                                            ,2008,"201,00 ","1.906,80 ","9,49 ","4,12 ","3,48 "
Quindío                                           ,2008,"76,20 ","315,70 ","4,14 ","0,68 ","1,32 "
Magdalena                                         ,2008,"303,00 ","2.134,00 ","7,04 ","4,61 ","5,25 "
Cauca                                             ,2008,"442,50 ","2.873,10 ","6,49 ","6,21 ","7,67 "
Norte de Santander                                ,2008,"225,80 ","1.601,00 ","7,09 ","3,46 ","3,91 "
Antioquia                                         ,2008,"37,00 ","418,00 ","11,30 ","0,90 ","0,64 "
Putumayo                                          ,2009,"28,00 ","149,00 ","5,32 ","0,29 ","0,44 "
Magdalena                                         ,2009,"329,00 ","2.391,00 ","7,27 ","4,59 ","5,18 "
Risaralda                                         ,2009,"186,00 ","2.498,00 ","13,43 ","4,79 ","2,93 "
Caldas                                            ,2009,"192,00 ","1.701,00 ","8,86 ","3,26 ","3,02 "
Caquetá                                           ,2009,"195,00 ","2.925,00 ","15,00 ","5,61 ","3,07 "
Cauca                                             ,2009,"243,50 ","1.615,75 ","6,64 ","3,10 ","3,83 "
Norte de Santander                                ,2009,"215,80 ","1.562,50 ","7,24 ","3,00 ","3,40 "
Cundinamarca                                      ,2009,"96,50 ","1.383,20 ","14,33 ","2,65 ","1,52 "
Chocó                                             ,2009,"16,00 ","197,20 ","12,33 ","0,38 ","0,25 "
Quindío                                           ,2009,"77,90 ","337,70 ","4,34 ","0,65 ","1,23 "
Valle del Cauca                                   ,2009,"825,30 ","5.533,64 ","6,71 ","10,61 ","12,99 "
Boyacá                                            ,2009,"409,00 ","4.259,25 ","10,41 ","8,17 ","6,44 "
Antioquia                                         ,2009,"54,10 ","698,80 ","12,92 ","1,34 ","0,85 "
Meta                                              ,2009,"67,00 ","439,00 ","6,55 ","0,84 ","1,05 "
Cesar                                             ,2009,"241,00 ","1.468,00 ","6,09 ","2,82 ","3,79 "
Tolima                                            ,2009,"483,00 ","3.921,90 ","8,12 ","7,52 ","7,60 "
Santander                                         ,2009,"344,00 ","4.582,00 ","13,32 ","8,79 ","5,41 "
La Guajira                                        ,2009,"64,00 ","432,00 ","6,75 ","0,83 ","1,01 "
Huila                                             ,2009,"1.696,50 ","12.569,20 ","7,41 ","24,10 ","26,69 "
Nariño                                            ,2009,"554,00 ","2.912,70 ","5,26 ","5,59 ","8,72 "
Casanare                                          ,2009,"38,00 ","570,00 ","15,00 ","1,09 ","0,60 "
Chocó                                             ,2010,"4,00 ","50,00 ","12,50 ","0,08 ","0,06 "
Caquetá                                           ,2010,"225,00 ","3.225,00 ","14,33 ","5,46 ","3,20 "
Norte de Santander                                ,2010,"227,80 ","1.585,00 ","6,96 ","2,68 ","3,24 "
La Guajira                                        ,2010,"48,00 ","309,50 ","6,45 ","0,52 ","0,68 "
Tolima                                            ,2010,"657,00 ","5.013,00 ","7,63 ","8,48 ","9,33 "
Nariño                                            ,2010,"448,40 ","2.269,05 ","5,06 ","3,84 ","6,37 "
Putumayo                                          ,2010,"62,00 ","336,00 ","5,42 ","0,57 ","0,88 "
Boyacá                                            ,2010,"516,30 ","5.872,30 ","11,37 ","9,94 ","7,33 "
Meta                                              ,2010,"31,00 ","188,00 ","6,06 ","0,32 ","0,44 "
Huila                                             ,2010,"2.004,00 ","15.120,30 ","7,55 ","25,59 ","28,47 "
Santander                                         ,2010,"363,00 ","4.312,00 ","11,88 ","7,30 ","5,16 "
Quindío                                           ,2010,"86,30 ","306,85 ","3,56 ","0,52 ","1,23 "
Casanare                                          ,2010,"5,00 ","42,00 ","8,40 ","0,07 ","0,07 "
Cauca                                             ,2010,"289,00 ","1.869,15 ","6,47 ","3,16 ","4,11 "
Caldas                                            ,2010,"240,00 ","2.186,50 ","9,11 ","3,70 ","3,41 "
Valle del Cauca                                   ,2010,"907,80 ","7.055,80 ","7,77 ","11,94 ","12,90 "
Risaralda                                         ,2010,"211,90 ","2.929,20 ","13,82 ","4,96 ","3,01 "
Magdalena                                         ,2010,"346,00 ","2.727,00 ","7,88 ","4,61 ","4,91 "
Cundinamarca                                      ,2010,"112,00 ","1.108,00 ","9,89 ","1,88 ","1,59 "
Cesar                                             ,2010,"98,50 ","703,00 ","7,14 ","1,19 ","1,40 "
Antioquia                                         ,2010,"156,70 ","1.883,50 ","12,02 ","3,19 ","2,23 "
Meta                                              ,2011,"40,00 ","245,00 ","6,13 ","0,43 ","0,59 "
Boyacá                                            ,2011,"474,41 ","5.399,70 ","11,38 ","9,46 ","7,03 "
Quindío                                           ,2011,"92,27 ","327,63 ","3,55 ","0,57 ","1,37 "
Magdalena                                         ,2011,"349,00 ","2.523,00 ","7,23 ","4,42 ","5,17 "
Putumayo                                          ,2011,"25,00 ","235,00 ","9,40 ","0,41 ","0,37 "
Antioquia                                         ,2011,"237,20 ","3.504,50 ","14,77 ","6,14 ","3,52 "
Caquetá                                           ,2011,"225,00 ","3.375,00 ","15,00 ","5,91 ","3,33 "
Cesar                                             ,2011,"52,00 ","360,00 ","6,92 ","0,63 ","0,77 "
La Guajira                                        ,2011,"43,00 ","276,50 ","6,43 ","0,48 ","0,64 "
Norte de Santander                                ,2011,"221,50 ","1.502,30 ","6,78 ","2,63 ","3,28 "
Santander                                         ,2011,"344,00 ","4.172,00 ","12,13 ","7,31 ","5,10 "
Casanare                                          ,2011,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Risaralda                                         ,2011,"164,47 ","2.573,02 ","15,64 ","4,51 ","2,44 "
Caldas                                            ,2011,"148,58 ","1.109,12 ","7,46 ","1,94 ","2,20 "
Valle del Cauca                                   ,2011,"792,50 ","5.395,70 ","6,81 ","9,45 ","11,75 "
Cundinamarca                                      ,2011,"70,50 ","1.243,00 ","17,63 ","2,18 ","1,04 "
Cauca                                             ,2011,"337,28 ","2.467,35 ","7,32 ","4,32 ","5,00 "
Tolima                                            ,2011,"720,00 ","5.176,00 ","7,19 ","9,07 ","10,67 "
Chocó                                             ,2011,"13,00 ","172,00 ","13,23 ","0,30 ","0,19 "
Huila                                             ,2011,"2.078,45 ","15.417,40 ","7,42 ","27,01 ","30,81 "
Nariño                                            ,2011,"318,50 ","1.595,70 ","5,01 ","2,80 ","4,72 "
Casanare                                          ,2012,"26,00 ","208,00 ","8,00 ","0,31 ","0,34 "
Caquetá                                           ,2012,"225,00 ","3.375,00 ","15,00 ","5,00 ","2,98 "
Risaralda                                         ,2012,"278,41 ","4.053,87 ","14,56 ","6,01 ","3,68 "
Caldas                                            ,2012,"196,00 ","2.365,50 ","12,07 ","3,51 ","2,59 "
Meta                                              ,2012,"167,00 ","1.144,00 ","6,85 ","1,70 ","2,21 "
Nariño                                            ,2012,"308,50 ","1.624,45 ","5,27 ","2,41 ","4,08 "
La Guajira                                        ,2012,"46,00 ","297,50 ","6,47 ","0,44 ","0,61 "
Tolima                                            ,2012,"794,50 ","6.409,50 ","8,07 ","9,50 ","10,51 "
Huila                                             ,2012,"2.079,65 ","15.436,10 ","7,42 ","22,87 ","27,50 "
Chocó                                             ,2012,"12,00 ","129,80 ","10,82 ","0,19 ","0,16 "
Cesar                                             ,2012,"83,00 ","566,00 ","6,82 ","0,84 ","1,10 "
Valle del Cauca                                   ,2012,"935,90 ","8.022,90 ","8,57 ","11,89 ","12,38 "
Quindío                                           ,2012,"178,84 ","1.187,75 ","6,64 ","1,76 ","2,37 "
Boyacá                                            ,2012,"437,50 ","5.365,20 ","12,26 ","7,95 ","5,79 "
Cundinamarca                                      ,2012,"99,00 ","1.494,00 ","15,09 ","2,21 ","1,31 "
Norte de Santander                                ,2012,"284,50 ","2.221,30 ","7,81 ","3,29 ","3,76 "
Antioquia                                         ,2012,"381,40 ","4.095,70 ","10,74 ","6,07 ","5,04 "
Magdalena                                         ,2012,"345,00 ","2.490,00 ","7,22 ","3,69 ","4,56 "
Cauca                                             ,2012,"276,55 ","2.009,78 ","7,27 ","2,98 ","3,66 "
Santander                                         ,2012,"321,50 ","4.337,00 ","13,49 ","6,43 ","4,25 "
Putumayo                                          ,2012,"85,00 ","650,00 ","7,65 ","0,96 ","1,12 "
Tolima                                            ,2013,"546,00 ","4.739,50 ","8,68 ","6,74 ","7,35 "
Huila                                             ,2013,"1.819,65 ","13.668,75 ","7,51 ","19,45 ","24,49 "
Chocó                                             ,2013,"21,50 ","151,00 ","7,02 ","0,21 ","0,29 "
Putumayo                                          ,2013,"67,00 ","474,50 ","7,08 ","0,68 ","0,90 "
Magdalena                                         ,2013,"364,00 ","2.674,00 ","7,35 ","3,81 ","4,90 "
Risaralda                                         ,2013,"150,40 ","2.448,96 ","16,28 ","3,48 ","2,02 "
Caldas                                            ,2013,"300,24 ","3.436,72 ","11,45 ","4,89 ","4,04 "
Boyacá                                            ,2013,"343,05 ","3.874,43 ","11,29 ","5,51 ","4,62 "
Caquetá                                           ,2013,"210,00 ","3.150,00 ","15,00 ","4,48 ","2,83 "
Cauca                                             ,2013,"209,33 ","1.818,88 ","8,69 ","2,59 ","2,82 "
Casanare                                          ,2013,"26,00 ","260,00 ","10,00 ","0,37 ","0,35 "
Meta                                              ,2013,"107,00 ","1.497,00 ","13,99 ","2,13 ","1,44 "
Santander                                         ,2013,"454,00 ","6.801,60 ","14,98 ","9,68 ","6,11 "
Valle del Cauca                                   ,2013,"1.053,90 ","9.621,70 ","9,13 ","13,69 ","14,19 "
Antioquia                                         ,2013,"522,90 ","6.534,40 ","12,50 ","9,30 ","7,04 "
La Guajira                                        ,2013,"51,00 ","327,00 ","6,41 ","0,47 ","0,69 "
Cesar                                             ,2013,"163,00 ","1.751,00 ","10,74 ","2,49 ","2,19 "
Quindío                                           ,2013,"137,80 ","841,84 ","6,11 ","1,20 ","1,85 "
Nariño                                            ,2013,"434,00 ","2.107,50 ","4,86 ","3,00 ","5,84 "
Norte de Santander                                ,2013,"381,10 ","3.093,35 ","8,12 ","4,40 ","5,13 "
Cundinamarca                                      ,2013,"67,50 ","999,50 ","14,81 ","1,42 ","0,91 "
Antioquia                                         ,2014,"517,40 ","5.864,60 ","11,33 ","7,33 ","5,85 "
Tolima                                            ,2014,"801,00 ","8.962,40 ","11,19 ","11,20 ","9,05 "
Santander                                         ,2014,"557,00 ","6.414,10 ","11,52 ","8,01 ","6,29 "
Boyacá                                            ,2014,"405,65 ","4.645,60 ","11,45 ","5,80 ","4,58 "
Meta                                              ,2014,"112,00 ","1.324,00 ","11,82 ","1,65 ","1,27 "
Magdalena                                         ,2014,"352,00 ","2.457,00 ","6,98 ","3,07 ","3,98 "
Quindío                                           ,2014,"147,85 ","1.075,85 ","7,28 ","1,34 ","1,67 "
Chocó                                             ,2014,"70,00 ","341,00 ","4,87 ","0,43 ","0,79 "
Putumayo                                          ,2014,"34,00 ","454,00 ","13,35 ","0,57 ","0,38 "
La Guajira                                        ,2014,"54,00 ","335,90 ","6,22 ","0,42 ","0,61 "
Valle del Cauca                                   ,2014,"1.095,00 ","9.756,70 ","8,91 ","12,19 ","12,37 "
Nariño                                            ,2014,"377,50 ","1.788,50 ","4,74 ","2,23 ","4,27 "
Norte de Santander                                ,2014,"457,60 ","3.918,10 ","8,56 ","4,90 ","5,17 "
Caldas                                            ,2014,"350,60 ","3.925,80 ","11,20 ","4,91 ","3,96 "
Casanare                                          ,2014,"20,00 ","200,00 ","10,00 ","0,25 ","0,23 "
Risaralda                                         ,2014,"148,00 ","2.094,00 ","14,15 ","2,62 ","1,67 "
Cauca                                             ,2014,"477,60 ","4.611,40 ","9,66 ","5,76 ","5,40 "
Cesar                                             ,2014,"530,00 ","4.280,00 ","8,08 ","5,35 ","5,99 "
Caquetá                                           ,2014,"264,00 ","1.902,00 ","7,20 ","2,38 ","2,98 "
Cundinamarca                                      ,2014,"83,50 ","988,40 ","11,84 ","1,23 ","0,94 "
Huila                                             ,2014,"1.996,28 ","14.697,11 ","7,36 ","18,36 ","22,55 "
Putumayo                                          ,2015,"90,50 ","1.189,50 ","13,14 ","1,44 ","1,05 "
Quindío                                           ,2015,"94,20 ","430,20 ","4,57 ","0,52 ","1,09 "
Antioquia                                         ,2015,"620,00 ","7.671,50 ","12,37 ","9,32 ","7,19 "
Risaralda                                         ,2015,"144,00 ","2.128,00 ","14,78 ","2,58 ","1,67 "
Valle del Cauca                                   ,2015,"1.055,40 ","10.268,30 ","9,73 ","12,47 ","12,24 "
Norte de Santander                                ,2015,"397,60 ","3.146,20 ","7,91 ","3,82 ","4,61 "
Casanare                                          ,2015,"35,00 ","340,00 ","9,71 ","0,41 ","0,41 "
Cesar                                             ,2015,"296,00 ","3.078,00 ","10,40 ","3,74 ","3,43 "
Meta                                              ,2015,"99,00 ","1.287,00 ","13,00 ","1,56 ","1,15 "
Boyacá                                            ,2015,"523,50 ","6.128,30 ","11,71 ","7,44 ","6,07 "
Santander                                         ,2015,"587,00 ","7.656,61 ","13,04 ","9,30 ","6,81 "
Huila                                             ,2015,"1.853,15 ","12.397,18 ","6,69 ","15,05 ","21,50 "
La Guajira                                        ,2015,"60,00 ","368,00 ","6,13 ","0,45 ","0,70 "
Tolima                                            ,2015,"988,00 ","10.591,20 ","10,72 ","12,86 ","11,46 "
Nariño                                            ,2015,"251,00 ","1.355,10 ","5,40 ","1,65 ","2,91 "
Magdalena                                         ,2015,"385,00 ","2.620,00 ","6,81 ","3,18 ","4,47 "
Caldas                                            ,2015,"263,00 ","2.872,55 ","10,92 ","3,49 ","3,05 "
Cauca                                             ,2015,"479,70 ","5.737,20 ","11,96 ","6,97 ","5,57 "
Caquetá                                           ,2015,"214,00 ","1.552,00 ","7,25 ","1,88 ","2,48 "
Chocó                                             ,2015,"80,00 ","389,00 ","4,86 ","0,47 ","0,93 "
Cundinamarca                                      ,2015,"103,00 ","1.147,90 ","11,14 ","1,39 ","1,20 "
