Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Quindío                                           ,2009,"19.052,00 ","21.985,00 ","1,15 ","3,10 ","2,52 "
Risaralda                                         ,2009,"45.428,00 ","53.648,00 ","1,18 ","7,57 ","6,02 "
Santander                                         ,2009,"37.985,90 ","26.311,61 ","0,69 ","3,71 ","5,03 "
Tolima                                            ,2009,"88.667,00 ","88.633,10 ","1,00 ","12,50 ","11,75 "
Valle del Cauca                                   ,2009,"67.001,30 ","62.711,08 ","0,94 ","8,85 ","8,88 "
Antioquia                                         ,2010,"111.602,71 ","121.253,38 ","1,09 ","15,56 ","14,99 "
Arauca                                            ,2010,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Bolívar                                           ,2010,"850,00 ","510,00 ","0,60 ","0,07 ","0,11 "
Boyacá                                            ,2010,"9.427,00 ","7.083,08 ","0,75 ","0,91 ","1,27 "
Caldas                                            ,2010,"72.240,58 ","95.957,90 ","1,33 ","12,31 ","9,71 "
Caquetá                                           ,2010,"2.536,00 ","2.902,50 ","1,14 ","0,37 ","0,34 "
Casanare                                          ,2010,"2.198,00 ","2.564,86 ","1,17 ","0,33 ","0,30 "
Cauca                                             ,2010,"55.162,00 ","45.113,00 ","0,82 ","5,79 ","7,41 "
Cesar                                             ,2010,"22.489,50 ","13.276,08 ","0,59 ","1,70 ","3,02 "
Chocó                                             ,2010,"157,50 ","98,00 ","0,62 ","0,01 ","0,02 "
Cundinamarca                                      ,2010,"44.264,16 ","37.214,80 ","0,84 ","4,78 ","5,95 "
Huila                                             ,2010,"87.139,53 ","104.336,56 ","1,20 ","13,39 ","11,71 "
La Guajira                                        ,2010,"4.207,00 ","2.393,00 ","0,57 ","0,31 ","0,57 "
Magdalena                                         ,2010,"17.000,00 ","13.600,00 ","0,80 ","1,75 ","2,28 "
Meta                                              ,2010,"2.326,00 ","2.221,90 ","0,96 ","0,29 ","0,31 "
Nariño                                            ,2010,"23.504,05 ","24.594,11 ","1,05 ","3,16 ","3,16 "
Norte de Santander                                ,2010,"30.731,96 ","22.111,65 ","0,72 ","2,84 ","4,13 "
Putumayo                                          ,2010,"24,00 ","26,70 ","1,11 ","0,00 ","0,00 "
Quindío                                           ,2010,"18.159,00 ","21.065,00 ","1,16 ","2,70 ","2,44 "
Risaralda                                         ,2010,"47.308,00 ","72.091,00 ","1,52 ","9,25 ","6,36 "
Santander                                         ,2010,"39.000,64 ","27.094,16 ","0,69 ","3,48 ","5,24 "
Tolima                                            ,2010,"84.658,70 ","94.230,20 ","1,11 ","12,09 ","11,37 "
Valle del Cauca                                   ,2010,"69.332,10 ","69.496,65 ","1,00 ","8,92 ","9,31 "
Antioquia                                         ,2011,"106.419,57 ","115.267,98 ","1,08 ","18,00 ","14,94 "
Arauca                                            ,2011,"10,00 ","12,00 ","1,20 ","0,00 ","0,00 "
Bolívar                                           ,2011,"850,00 ","510,00 ","0,60 ","0,08 ","0,12 "
Boyacá                                            ,2011,"8.441,73 ","5.643,39 ","0,67 ","0,88 ","1,18 "
Caldas                                            ,2011,"66.331,61 ","78.805,87 ","1,19 ","12,31 ","9,31 "
Caquetá                                           ,2011,"2.810,00 ","2.528,40 ","0,90 ","0,39 ","0,39 "
Casanare                                          ,2011,"2.081,50 ","2.023,50 ","0,97 ","0,32 ","0,29 "
Cauca                                             ,2011,"54.246,42 ","41.645,39 ","0,77 ","6,50 ","7,61 "
Cesar                                             ,2011,"22.350,00 ","11.035,85 ","0,49 ","1,72 ","3,14 "
Chocó                                             ,2011,"157,50 ","98,00 ","0,62 ","0,02 ","0,02 "
Cundinamarca                                      ,2011,"37.478,87 ","32.780,35 ","0,87 ","5,12 ","5,26 "
Huila                                             ,2011,"78.792,22 ","85.150,66 ","1,08 ","13,30 ","11,06 "
La Guajira                                        ,2011,"4.100,00 ","1.933,00 ","0,47 ","0,30 ","0,58 "
Magdalena                                         ,2011,"16.577,00 ","13.301,60 ","0,80 ","2,08 ","2,33 "
Meta                                              ,2011,"2.578,00 ","2.533,75 ","0,98 ","0,40 ","0,36 "
Nariño                                            ,2011,"24.263,80 ","24.073,95 ","0,99 ","3,76 ","3,41 "
Norte de Santander                                ,2011,"21.520,45 ","12.332,00 ","0,57 ","1,93 ","3,02 "
Putumayo                                          ,2011,"40,00 ","45,80 ","1,15 ","0,01 ","0,01 "
Quindío                                           ,2011,"20.139,30 ","20.814,11 ","1,03 ","3,25 ","2,83 "
Risaralda                                         ,2011,"44.733,64 ","49.042,31 ","1,10 ","7,66 ","6,28 "
Santander                                         ,2011,"37.282,04 ","22.089,82 ","0,59 ","3,45 ","5,23 "
Tolima                                            ,2011,"93.145,35 ","53.288,42 ","0,57 ","8,32 ","13,08 "
Valle del Cauca                                   ,2011,"68.038,40 ","65.475,63 ","0,96 ","10,22 ","9,55 "
Antioquia                                         ,2012,"112.221,14 ","91.621,30 ","0,82 ","14,72 ","15,85 "
Bolívar                                           ,2012,"870,00 ","652,50 ","0,75 ","0,10 ","0,12 "
Boyacá                                            ,2012,"6.698,20 ","4.981,59 ","0,74 ","0,80 ","0,95 "
Caldas                                            ,2012,"52.206,88 ","49.627,46 ","0,95 ","7,98 ","7,38 "
Caquetá                                           ,2012,"2.882,50 ","2.446,38 ","0,85 ","0,39 ","0,41 "
Casanare                                          ,2012,"2.322,00 ","1.718,25 ","0,74 ","0,28 ","0,33 "
Cauca                                             ,2012,"56.825,00 ","50.588,14 ","0,89 ","8,13 ","8,03 "
Cesar                                             ,2012,"22.911,00 ","19.994,35 ","0,87 ","3,21 ","3,24 "
Chocó                                             ,2012,"70,00 ","140,00 ","2,00 ","0,02 ","0,01 "
Cundinamarca                                      ,2012,"37.175,06 ","30.786,41 ","0,83 ","4,95 ","5,25 "
Guaviare                                          ,2012,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Huila                                             ,2012,"79.809,34 ","85.212,64 ","1,07 ","13,69 ","11,28 "
La Guajira                                        ,2012,"5.143,00 ","3.434,30 ","0,67 ","0,55 ","0,73 "
Magdalena                                         ,2012,"17.686,00 ","14.096,05 ","0,80 ","2,27 ","2,50 "
Meta                                              ,2012,"2.783,00 ","2.133,10 ","0,77 ","0,34 ","0,39 "
Nariño                                            ,2012,"27.806,40 ","28.077,94 ","1,01 ","4,51 ","3,93 "
Norte de Santander                                ,2012,"19.339,31 ","12.214,54 ","0,63 ","1,96 ","2,73 "
Putumayo                                          ,2012,"42,00 ","48,40 ","1,15 ","0,01 ","0,01 "
Quindío                                           ,2012,"21.109,83 ","18.030,13 ","0,85 ","2,90 ","2,98 "
Risaralda                                         ,2012,"45.588,03 ","36.989,43 ","0,81 ","5,94 ","6,44 "
Santander                                         ,2012,"33.947,15 ","23.271,89 ","0,69 ","3,74 ","4,80 "
Tolima                                            ,2012,"90.904,48 ","85.027,49 ","0,94 ","13,66 ","12,84 "
Valle del Cauca                                   ,2012,"69.456,71 ","61.190,55 ","0,88 ","9,83 ","9,81 "
Antioquia                                         ,2013,"109.755,50 ","102.403,24 ","0,93 ","15,70 ","14,22 "
Bolívar                                           ,2013,"659,04 ","395,07 ","0,60 ","0,06 ","0,09 "
Boyacá                                            ,2013,"9.289,05 ","5.591,05 ","0,60 ","0,86 ","1,20 "
Caldas                                            ,2013,"60.264,29 ","58.634,21 ","0,97 ","8,99 ","7,81 "
Caquetá                                           ,2013,"2.905,84 ","2.188,92 ","0,75 ","0,34 ","0,38 "
Casanare                                          ,2013,"2.232,94 ","1.338,56 ","0,60 ","0,21 ","0,29 "
Cauca                                             ,2013,"74.105,64 ","56.303,93 ","0,76 ","8,63 ","9,60 "
Cesar                                             ,2013,"25.106,39 ","15.050,26 ","0,60 ","2,31 ","3,25 "
Chocó                                             ,2013,"125,01 ","105,93 ","0,85 ","0,02 ","0,02 "
Cundinamarca                                      ,2013,"36.189,18 ","24.993,75 ","0,69 ","3,83 ","4,69 "
Huila                                             ,2013,"118.200,88 ","115.875,00 ","0,98 ","17,77 ","15,31 "
La Guajira                                        ,2013,"5.750,70 ","3.447,31 ","0,60 ","0,53 ","0,75 "
Magdalena                                         ,2013,"17.016,72 ","10.200,83 ","0,60 ","1,56 ","2,20 "
Meta                                              ,2013,"2.483,43 ","1.650,41 ","0,66 ","0,25 ","0,32 "
Nariño                                            ,2013,"32.136,51 ","28.606,94 ","0,89 ","4,39 ","4,16 "
Norte de Santander                                ,2013,"25.332,45 ","15.185,81 ","0,60 ","2,33 ","3,28 "
Putumayo                                          ,2013,"24,27 ","16,87 ","0,70 ","0,00 ","0,00 "
Quindío                                           ,2013,"21.203,03 ","20.599,27 ","0,97 ","3,16 ","2,75 "
Risaralda                                         ,2013,"39.615,60 ","39.073,93 ","0,99 ","5,99 ","5,13 "
Santander                                         ,2013,"38.613,68 ","30.227,03 ","0,78 ","4,64 ","5,00 "
Tolima                                            ,2013,"97.308,81 ","77.215,34 ","0,79 ","11,84 ","12,61 "
Valle del Cauca                                   ,2013,"53.481,02 ","42.948,41 ","0,80 ","6,59 ","6,93 "
Antioquia                                         ,2014,"110.115,86 ","111.452,98 ","1,01 ","15,30 ","13,84 "
Bolívar                                           ,2014,"936,34 ","606,93 ","0,65 ","0,08 ","0,12 "
Boyacá                                            ,2014,"9.834,39 ","6.364,42 ","0,65 ","0,87 ","1,24 "
Caldas                                            ,2014,"59.757,18 ","62.869,38 ","1,05 ","8,63 ","7,51 "
Caquetá                                           ,2014,"3.074,92 ","2.503,81 ","0,81 ","0,34 ","0,39 "
Casanare                                          ,2014,"2.599,43 ","1.688,60 ","0,65 ","0,23 ","0,33 "
Cauca                                             ,2014,"77.068,46 ","63.365,77 ","0,82 ","8,70 ","9,69 "
Cesar                                             ,2014,"26.138,58 ","16.935,62 ","0,65 ","2,33 ","3,29 "
Chocó                                             ,2014,"136,88 ","125,42 ","0,92 ","0,02 ","0,02 "
Cundinamarca                                      ,2014,"33.623,54 ","25.118,52 ","0,75 ","3,45 ","4,23 "
Huila                                             ,2014,"128.273,15 ","135.971,19 ","1,06 ","18,67 ","16,12 "
La Guajira                                        ,2014,"6.078,64 ","3.923,81 ","0,65 ","0,54 ","0,76 "
Magdalena                                         ,2014,"18.533,11 ","12.012,98 ","0,65 ","1,65 ","2,33 "
Meta                                              ,2014,"2.739,71 ","1.950,83 ","0,71 ","0,27 ","0,34 "
Nariño                                            ,2014,"33.608,32 ","32.321,60 ","0,96 ","4,44 ","4,22 "
Norte de Santander                                ,2014,"23.724,20 ","15.108,55 ","0,64 ","2,07 ","2,98 "
Putumayo                                          ,2014,"101,16 ","76,04 ","0,75 ","0,01 ","0,01 "
Quindío                                           ,2014,"21.462,81 ","22.518,43 ","1,05 ","3,09 ","2,70 "
Risaralda                                         ,2014,"40.154,46 ","42.719,52 ","1,06 ","5,86 ","5,05 "
Santander                                         ,2014,"40.733,20 ","34.512,74 ","0,85 ","4,74 ","5,12 "
Tolima                                            ,2014,"100.832,91 ","86.453,57 ","0,86 ","11,87 ","12,67 "
Valle del Cauca                                   ,2014,"56.035,94 ","49.799,25 ","0,89 ","6,84 ","7,04 "
Antioquia                                         ,2015,"109.649,61 ","120.365,78 ","1,10 ","14,15 ","13,69 "
Bolívar                                           ,2015,"1.065,07 ","1.089,74 ","1,02 ","0,13 ","0,13 "
Boyacá                                            ,2015,"10.461,85 ","9.501,54 ","0,91 ","1,12 ","1,31 "
Caldas                                            ,2015,"58.376,40 ","67.231,37 ","1,15 ","7,90 ","7,29 "
Caquetá                                           ,2015,"3.410,56 ","3.749,26 ","1,10 ","0,44 ","0,43 "
Casanare                                          ,2015,"2.752,31 ","2.626,74 ","0,95 ","0,31 ","0,34 "
Cauca                                             ,2015,"77.405,83 ","83.626,46 ","1,08 ","9,83 ","9,66 "
Cesar                                             ,2015,"25.948,50 ","22.240,80 ","0,86 ","2,62 ","3,24 "
Chocó                                             ,2015,"137,47 ","158,20 ","1,15 ","0,02 ","0,02 "
Cundinamarca                                      ,2015,"34.101,49 ","31.165,13 ","0,91 ","3,66 ","4,26 "
Huila                                             ,2015,"130.452,40 ","145.168,09 ","1,11 ","17,07 ","16,28 "
La Guajira                                        ,2015,"5.631,53 ","4.317,51 ","0,77 ","0,51 ","0,70 "
Magdalena                                         ,2015,"17.996,31 ","16.691,30 ","0,93 ","1,96 ","2,25 "
Meta                                              ,2015,"2.922,21 ","3.206,34 ","1,10 ","0,38 ","0,36 "
Nariño                                            ,2015,"33.490,93 ","36.607,56 ","1,09 ","4,30 ","4,18 "
Norte de Santander                                ,2015,"22.940,64 ","20.267,63 ","0,88 ","2,38 ","2,86 "
Putumayo                                          ,2015,"128,65 ","124,67 ","0,97 ","0,01 ","0,02 "
Quindío                                           ,2015,"21.491,21 ","24.694,55 ","1,15 ","2,90 ","2,68 "
Risaralda                                         ,2015,"41.732,03 ","47.215,69 ","1,13 ","5,55 ","5,21 "
Santander                                         ,2015,"42.679,11 ","47.304,21 ","1,11 ","5,56 ","5,33 "
Tolima                                            ,2015,"103.368,73 ","105.563,89 ","1,02 ","12,41 ","12,90 "
Valle del Cauca                                   ,2015,"54.938,79 ","57.583,61 ","1,05 ","6,77 ","6,86 "
